ticker,name,raw_composite,sector,industry,cap_bucket,price,ret_5d,ret_1m,ret_3m,ret_6m,ret_12m,asof_date
CHDN,"Churchill Downs, Incorporated",24.9000,Consumer Cyclical,Gambling,Mid,89.2400,-0.0531,-0.1698,-0.1025,-0.1267,-0.2722,2026-02-13
BAH,Booz Allen Hamilton Holding Cor,24.8000,Industrials,Consulting Services,Mid,79.3200,-0.1132,-0.1770,-0.0446,-0.2641,-0.3071,2026-02-13
BLKB,"Blackbaud, Inc.",24.7000,Technology,Software - Application,Mid,49.0800,0.0172,-0.1379,-0.1858,-0.2244,-0.3925,2026-02-13
CTAS,Cintas Corporation,24.7000,Industrials,Specialty Business Services,Large,193.4400,-0.0045,-0.0087,0.0343,-0.1025,-0.0511,2026-02-13
GEO,Geo Group Inc (The) REIT,24.7000,Industrials,Security & Protection Services,Mid,14.2100,-0.1157,-0.1875,-0.0254,-0.3237,-0.4866,2026-02-13
FRSH,Freshworks Inc.,24.5000,Technology,Software - Application,Mid,7.2400,-0.1611,-0.3616,-0.3921,-0.4465,-0.5846,2026-02-13
AVPT,"AvePoint, Inc.",24.5000,Technology,Software - Infrastructure,Mid,10.5600,-0.0294,-0.1908,-0.1877,-0.2974,-0.4665,2026-02-13
CPB,The Campbell's Company,24.5000,Consumer Defensive,Packaged Foods,Mid,29.4900,0.0194,0.0963,-0.0415,-0.0679,-0.1975,2026-02-13
DJT,Trump Media & Technology Group ,24.5000,Communication Services,Internet Content & Information,Mid,10.9800,-0.0257,-0.1962,-0.0873,-0.4065,-0.6420,2026-02-13
BFAM,Bright Horizons Family Solution,24.4000,Consumer Cyclical,Personal Services,Mid,66.9000,-0.1986,-0.3104,-0.3323,-0.4489,-0.4378,2026-02-13
ABM,ABM Industries Incorporated,24.4000,Industrials,Specialty Business Services,Mid,44.5100,-0.0483,-0.0118,0.0537,-0.0640,-0.1433,2026-02-13
DOCU,"DocuSign, Inc.",24.3000,Technology,Software - Application,Mid,44.8200,-0.0582,-0.2491,-0.3311,-0.3678,-0.4943,2026-02-13
BIRK,Birkenstock Holding plc,24.3000,Consumer Cyclical,Footwear & Accessories,Mid,39.8000,0.0303,-0.0199,-0.0141,-0.2008,-0.3008,2026-02-13
ADP,"Automatic Data Processing, Inc.",24.2000,Technology,Software - Application,Large,212.1100,-0.0640,-0.1848,-0.1615,-0.2889,-0.3011,2026-02-13
EXLS,"ExlService Holdings, Inc.",24.2000,Technology,Information Technology Services,Mid,30.0400,-0.0341,-0.2953,-0.2466,-0.2905,-0.4157,2026-02-13
CBSH,"Commerce Bancshares, Inc.",24.1000,Financial Services,Banks - Regional,Mid,53.6000,-0.0295,-0.0176,0.0549,-0.0714,-0.1372,2026-02-13
FRHC,Freedom Holding Corp.,24.1000,Financial Services,Financial Conglomerates,Mid,116.4000,-0.0472,-0.0768,-0.1538,-0.3228,-0.2769,2026-02-13
DUOL,"Duolingo, Inc.",24.0000,Technology,Software - Application,Mid,112.5700,-0.0533,-0.2710,-0.3965,-0.6557,-0.7384,2026-02-13
DKNG,DraftKings Inc.,24.0000,Consumer Cyclical,Gambling,Large,21.7600,-0.2006,-0.3864,-0.2671,-0.5158,-0.5315,2026-02-13
AJG,Arthur J. Gallagher & Co.,23.9000,Financial Services,Insurance Brokers,Large,208.4500,-0.0429,-0.1862,-0.1858,-0.2844,-0.3600,2026-02-13
G,Genpact Limited,23.6000,Technology,Information Technology Services,Mid,37.3600,-0.0539,-0.1917,-0.1707,-0.1409,-0.3197,2026-02-13
DEI,"Douglas Emmett, Inc.",23.5000,Real Estate,REIT - Office,Mid,10.1100,-0.0417,-0.0784,-0.1255,-0.2927,-0.3768,2026-02-13
BMI,"Badger Meter, Inc.",23.3000,Technology,Scientific & Technical Instruments,Mid,154.8800,0.0286,-0.0919,-0.1268,-0.1672,-0.2883,2026-02-13
AR,Antero Resources Corporation,23.1000,Energy,Oil & Gas E&P,Large,34.7600,0.0152,0.0938,0.0122,0.0862,-0.1342,2026-02-13
AWR,American States Water Company,23.1000,Utilities,Utilities - Regulated Water,Mid,74.8900,0.0683,-0.0176,0.0043,0.0061,0.0238,2026-02-13
FCN,"FTI Consulting, Inc.",23.0000,Industrials,Consulting Services,Mid,162.8100,-0.0776,-0.0831,-0.0130,-0.0162,-0.1494,2026-02-13
CPT,Camden Property Trust,22.9000,Real Estate,REIT - Residential,Large,108.5300,0.0060,0.0017,0.0773,0.0364,-0.0541,2026-02-13
FLUT,Flutter Entertainment plc,22.8000,Consumer Cyclical,Gambling,Large,125.1700,-0.1899,-0.3775,-0.3773,-0.5733,-0.5565,2026-02-13
ELS,"Equity Lifestyle Properties, In",22.6000,Real Estate,REIT - Residential,Large,67.8200,0.0332,0.0916,0.1090,0.1368,0.0476,2026-02-13
FISV,"Fiserv, Inc.",22.6000,,,Large,59.3600,-0.0130,-0.1111,-0.0801,-0.5658,-0.7418,2026-02-13
BMRN,BioMarin Pharmaceutical Inc.,22.6000,Healthcare,Biotechnology,Large,59.8700,0.0356,0.0872,0.1042,0.0405,-0.0706,2026-02-13
BRZE,"Braze, Inc.",22.5000,Technology,Software - Application,Mid,17.6000,-0.0282,-0.3093,-0.3761,-0.3098,-0.5787,2026-02-13
GPK,Graphic Packaging Holding Compa,22.4000,Consumer Cyclical,Packaging & Containers,Mid,12.4200,-0.0648,-0.1956,-0.2241,-0.4416,-0.5228,2026-02-13
BOX,"Box, Inc.",22.3000,Technology,Software - Infrastructure,Mid,23.1900,-0.0542,-0.1272,-0.2751,-0.2659,-0.3447,2026-02-13
ERIE,Erie Indemnity Company,22.1000,Financial Services,Insurance Brokers,Large,279.1100,0.0354,-0.0140,-0.0230,-0.2312,-0.2769,2026-02-13
GPI,"Group 1 Automotive, Inc.",22.1000,Consumer Cyclical,Auto & Truck Dealerships,Mid,333.8600,-0.0134,-0.1593,-0.1472,-0.2438,-0.3071,2026-02-13
ABG,Asbury Automotive Group Inc,22.1000,Consumer Cyclical,Auto & Truck Dealerships,Mid,229.4400,0.0265,-0.0767,0.0276,-0.0462,-0.2345,2026-02-13
FLO,"Flowers Foods, Inc.",22.1000,Consumer Defensive,Packaged Foods,Mid,10.3600,-0.1235,-0.0667,-0.0691,-0.3126,-0.4098,2026-02-13
DOCS,"Doximity, Inc.",22.0000,Healthcare,Health Information Services,Mid,25.0200,-0.0902,-0.3905,-0.4968,-0.6158,-0.6750,2026-02-13
BRO,"Brown & Brown, Inc.",22.0000,Financial Services,Insurance Brokers,Large,68.4700,-0.0029,-0.1395,-0.1428,-0.2787,-0.3782,2026-02-13
AON,Aon plc,21.9000,Financial Services,Insurance Brokers,Large,321.7000,0.0366,-0.0671,-0.0833,-0.1235,-0.1723,2026-02-13
CRM,"Salesforce, Inc.",21.9000,Technology,Software - Application,Large,189.7200,-0.0222,-0.1876,-0.2096,-0.2148,-0.4211,2026-02-13
AMH,American Homes 4 Rent,21.9000,Real Estate,REIT - Residential,Large,31.6200,0.0177,-0.0032,0.0075,-0.0739,-0.0857,2026-02-13
BRBR,"BellRing Brands, Inc.",21.8000,Consumer Defensive,Packaged Foods,Mid,17.8700,-0.0479,-0.2652,-0.3369,-0.5342,-0.7696,2026-02-13
AKR,Acadia Realty Trust,21.8000,Real Estate,REIT - Retail,Mid,20.5900,-0.0195,-0.0177,0.0369,0.1040,-0.1342,2026-02-13
AVTR,"Avantor, Inc.",21.7000,Healthcare,Medical Instruments & Supplies,Mid,9.2000,-0.1808,-0.2346,-0.2137,-0.2885,-0.4917,2026-02-13
GIS,"General Mills, Inc.",21.3000,Consumer Defensive,Packaged Foods,Large,48.3400,0.0050,0.0601,0.0357,-0.0003,-0.1475,2026-02-13
FOUR,"Shift4 Payments, Inc.",21.3000,Technology,Software - Infrastructure,Mid,55.0100,-0.0614,-0.1654,-0.2387,-0.3945,-0.5392,2026-02-13
DXC,DXC Technology Company,21.2000,Technology,Information Technology Services,Mid,13.3900,-0.0649,-0.0977,0.0053,-0.0233,-0.3494,2026-02-13
ADBE,Adobe Inc.,21.2000,Technology,Software - Application,Large,263.9700,-0.0110,-0.1319,-0.2087,-0.2561,-0.4252,2026-02-13
ACIW,"ACI Worldwide, Inc.",21.2000,Technology,Software - Infrastructure,Mid,39.5600,-0.0543,-0.0904,-0.1612,-0.1503,-0.2470,2026-02-13
DLB,Dolby Laboratories,20.9000,Industrials,Specialty Business Services,Mid,66.0200,-0.0030,0.0476,0.0141,-0.0834,-0.2011,2026-02-13
AGO,Assured Guaranty Ltd.,20.8000,Financial Services,Insurance - Specialty,Mid,86.3400,0.0081,0.0091,-0.0151,0.0725,-0.0563,2026-02-13
GDDY,GoDaddy Inc.,20.3000,Technology,Software - Infrastructure,Large,89.1200,-0.0913,-0.1698,-0.3201,-0.3894,-0.5807,2026-02-13
GPN,Global Payments Inc.,20.2000,Industrials,Specialty Business Services,Large,68.4800,-0.0457,-0.0868,-0.0895,-0.2063,-0.3345,2026-02-13
EEFT,"Euronet Worldwide, Inc.",20.1000,Technology,Software - Infrastructure,Mid,67.9600,-0.0664,-0.0901,-0.0322,-0.2918,-0.3460,2026-02-13
DBX,"Dropbox, Inc.",19.9000,Technology,Software - Infrastructure,Mid,24.5300,-0.0141,-0.0747,-0.1931,-0.1183,-0.2450,2026-02-13
CDW,CDW Corporation,19.9000,Technology,Information Technology Services,Large,126.8600,-0.1156,-0.0410,-0.1317,-0.2190,-0.3135,2026-02-13
CPRT,"Copart, Inc.",19.8000,Industrials,Specialty Business Services,Large,37.4900,-0.0697,-0.0912,-0.0992,-0.2037,-0.3734,2026-02-13
ALRM,"Alarm.com Holdings, Inc.",19.7000,Technology,Software - Application,Mid,46.3800,-0.0178,-0.0863,-0.0799,-0.1687,-0.2733,2026-02-13
CZR,"Caesars Entertainment, Inc.",19.6000,Consumer Cyclical,Resorts & Casinos,Mid,18.1400,-0.1215,-0.2844,-0.0815,-0.2839,-0.5333,2026-02-13
FCPT,"Four Corners Property Trust, In",19.5000,Real Estate,REIT - Retail,Mid,24.3700,-0.0345,-0.0217,0.0263,-0.0121,-0.0927,2026-02-13
EQR,Equity Residential,19.2000,Real Estate,REIT - Residential,Large,63.8600,-0.0125,0.0440,0.0892,0.0178,-0.0692,2026-02-13
FG,"F&G Annuities & Life, Inc.",18.8000,Financial Services,Insurance - Life,Mid,28.4400,0.0205,0.0252,-0.1314,-0.1640,-0.3714,2026-02-13
CHE,Chemed Corp,18.6000,Healthcare,Medical Care Facilities,Mid,473.2200,0.0559,0.0311,0.0625,0.0646,-0.1520,2026-02-13
FTNT,"Fortinet, Inc.",18.5000,Technology,Software - Infrastructure,Large,85.5600,-0.0043,0.1211,0.0559,0.0815,-0.2220,2026-02-13
DPZ,Domino's Pizza Inc,18.1000,Consumer Cyclical,Restaurants,Large,375.5000,-0.0425,-0.0821,-0.0775,-0.1613,-0.2050,2026-02-13
ACN,Accenture plc,18.0000,Technology,Information Technology Services,Large,224.2300,-0.0529,-0.2208,-0.0943,-0.0922,-0.4186,2026-02-13
EXPO,"Exponent, Inc.",17.7000,Industrials,Engineering & Construction,Mid,66.7900,-0.1474,-0.1017,-0.0410,-0.0276,-0.2502,2026-02-13
GLOB,Globant S.A.,17.2000,Technology,Information Technology Services,Mid,49.4000,-0.1786,-0.2679,-0.2139,-0.2567,-0.7840,2026-02-13
AVB,"AvalonBay Communities, Inc.",15.7000,Real Estate,REIT - Residential,Large,176.1900,0.0157,-0.0255,0.0050,-0.0582,-0.1706,2026-02-13
ESS,"Essex Property Trust, Inc.",13.3000,Real Estate,REIT - Residential,Large,251.1600,-0.0258,-0.0093,0.0002,-0.0126,-0.1062,2026-02-13
